Name	group	CONTROL	Batch	raw
WT_Early_3	WT_Early	T	B2_1	WT_Early_3
WT_Late_3	WT_Late	T	B2_1	WT_Late_3
KO_Early_3	KO_Early	T	B2_1	KO_Early_3
WT_Uninfect_3	WT_Uninfect	C	B2_1	WT_Uninfect_3
KO_Late_3	KO_Late	T	B2_1	KO_Late_3
WT_Early_4	WT_Early	T	B2_1	WT_Early_4
KO_Uninfect_3	KO_Uninfect	T	B2_1	KO_Uninfect_3
WT_Late_4	WT_Late	T	B2_1	WT_Late_4
KO_Early_4	KO_Early	T	B2_1	KO_Early_4
WT_Uninfect_4	WT_Uninfect	C	B2_1	WT_Uninfect_4
KO_Late_4	KO_Late	T	B2_1	KO_Late_4
WT_Early_1	WT_Early	T	B1_1	WT_Early_1
WT_Late_1	WT_Late	T	B1_1	WT_Late_1
KO_Early_1	KO_Early	T	B1_1	KO_Early_1
WT_Uninfect_1	WT_Uninfect	C	B1_1	WT_Uninfect_1
KO_Late_1	KO_Late	T	B1_1	KO_Late_1
WT_Early_2	WT_Early	T	B1_1	WT_Early_2
KO_Uninfect_1	KO_Uninfect	T	B1_1	KO_Uninfect_1
WT_Late_2	WT_Late	T	B1_1	WT_Late_2
KO_Early_2	KO_Early	T	B1_1	KO_Early_2
KO_Uninfect_2	KO_Uninfect	T	B1_1	KO_Uninfect_2
KO_Late_2	KO_Late	T	B1_1	KO_Late_2
